TimeStamp,IntSolIrr
2016-04-14 09:00:01,47
2016-04-14 09:05:01,41
2016-04-14 09:10:01,48
2016-04-14 09:15:01,63
2016-04-14 09:20:01,97
2016-04-14 09:25:01,112
2016-04-14 09:30:01,123
2016-04-14 09:35:01,111
2016-04-14 09:40:01,130
2016-04-14 09:45:02,151
2016-04-14 09:50:01,149
2016-04-14 09:55:01,181
2016-04-14 10:00:01,240
2016-04-14 10:05:01,215
2016-04-14 10:10:01,160
2016-04-14 10:15:01,101
2016-04-14 10:20:01,83
2016-04-14 10:25:01,61
2016-04-14 10:30:01,42
2016-04-14 10:35:01,32
2016-04-14 10:40:01,26
2016-04-14 10:45:01,25
2016-04-14 10:50:01,31
2016-04-14 10:55:01,42
2016-04-14 11:00:01,71
2016-04-14 11:05:01,72
2016-04-14 11:10:01,93
2016-04-14 11:15:01,106
2016-04-14 11:20:01,124
2016-04-14 11:25:01,67
2016-04-14 11:30:01,67
2016-04-14 11:35:01,73
2016-04-14 11:40:01,63
2016-04-14 11:45:01,55
2016-04-14 11:50:01,53
2016-04-14 11:55:01,53
2016-04-14 12:00:01,43
2016-04-14 12:05:01,38
2016-04-14 12:10:01,57
2016-04-14 12:15:01,74
2016-04-14 12:20:01,86
2016-04-14 12:25:01,85
2016-04-14 12:30:01,90
2016-04-14 12:35:01,136
2016-04-14 12:40:01,138
2016-04-14 12:45:01,125
2016-04-14 12:50:01,127
2016-04-14 12:55:01,114
2016-04-14 13:00:01,122
2016-04-14 13:05:01,116
2016-04-14 13:10:01,113
2016-04-14 13:15:01,130
2016-04-14 13:20:01,142
2016-04-14 13:25:01,152
2016-04-14 13:30:01,156
2016-04-14 13:35:01,165
2016-04-14 13:40:01,150
2016-04-14 13:45:01,107
2016-04-14 13:50:01,118
2016-04-14 13:55:01,151
2016-04-14 14:00:01,98
2016-04-14 14:05:01,97
2016-04-14 14:10:01,135
2016-04-14 14:15:01,114
2016-04-14 14:20:01,97
2016-04-14 14:25:01,86
2016-04-14 14:30:01,53
2016-04-14 14:35:01,75
2016-04-14 14:40:01,75
2016-04-14 14:45:01,83
2016-04-14 14:50:01,138
2016-04-14 14:55:01,151
2016-04-14 15:00:01,94
2016-04-14 15:05:01,211
2016-04-14 15:10:01,168
2016-04-14 15:15:01,175
2016-04-14 15:20:01,257
2016-04-14 15:25:01,323
2016-04-14 15:30:01,365
2016-04-14 15:35:01,263
2016-04-14 15:40:01,206
2016-04-14 15:45:01,162
2016-04-14 15:50:01,231
2016-04-14 15:55:01,321
2016-04-14 16:00:01,283
2016-04-14 16:05:01,240
2016-04-14 16:10:01,164
2016-04-14 16:15:01,123
2016-04-14 16:20:01,208
2016-04-14 16:25:01,271
2016-04-14 16:30:01,222
2016-04-14 16:35:01,122
2016-04-14 16:40:01,237
2016-04-14 16:45:01,182
2016-04-14 16:50:01,115
2016-04-14 16:55:01,130
2016-04-14 17:00:01,213
2016-04-14 17:05:01,167
2016-04-14 17:10:01,82
2016-04-14 17:15:01,127
2016-04-14 17:20:01,94
2016-04-14 17:25:01,52
2016-04-14 17:30:01,121
2016-04-14 17:35:01,51
2016-04-14 17:40:01,52
2016-04-14 17:45:01,70
2016-04-14 17:50:01,86
2016-04-14 17:55:01,50
2016-04-14 18:00:01,112
2016-04-14 18:05:01,78
2016-04-14 18:10:01,294
2016-04-14 18:15:01,250
2016-04-14 18:20:01,90
2016-04-14 18:25:01,541
2016-04-14 18:30:01,151
2016-04-14 18:35:01,138
2016-04-14 18:40:01,122
2016-04-14 18:45:01,351
2016-04-14 18:50:01,311
2016-04-14 18:55:01,270
2016-04-14 19:00:01,72
2016-04-14 19:05:01,110
2016-04-14 19:10:01,163
2016-04-14 19:15:01,78
2016-04-14 19:20:01,41
2016-04-14 19:25:01,59
2016-04-14 19:30:01,76
2016-04-14 19:35:01,63
2016-04-14 19:40:01,42
2016-04-14 19:45:01,43
2016-04-14 19:50:01,38
2016-04-14 19:55:01,34
2016-04-14 20:00:01,32
2016-04-14 20:05:01,30
2016-04-14 20:10:01,29
2016-04-14 20:15:01,29
2016-04-14 20:20:01,29
2016-04-14 20:25:01,28
2016-04-14 20:30:01,23
2016-04-14 20:35:01,16
2016-04-15 07:55:01,15
2016-04-15 08:00:01,20
2016-04-15 08:05:01,18
2016-04-15 08:10:01,18
2016-04-15 08:20:01,21
2016-04-15 08:25:01,40
2016-04-15 08:30:01,21
2016-04-15 08:35:01,44
2016-04-15 08:40:01,41
2016-04-15 08:45:01,91
2016-04-15 08:50:01,58
2016-04-15 08:55:01,82
2016-04-15 09:00:01,115
2016-04-15 09:05:01,114
2016-04-15 09:10:01,229
2016-04-15 09:15:01,115
2016-04-15 09:20:01,67
2016-04-15 09:25:01,93
2016-04-15 09:30:01,86
2016-04-15 09:35:01,106
2016-04-15 09:40:01,185
2016-04-15 09:45:01,205
2016-04-15 09:50:01,66
2016-04-15 09:55:01,179
2016-04-15 10:00:01,213
2016-04-15 10:05:01,463
2016-04-15 10:10:01,263
2016-04-15 10:15:01,254
2016-04-15 10:20:01,653
2016-04-15 10:25:01,165
2016-04-15 10:35:01,667
2016-04-15 10:40:01,173
2016-04-15 10:45:01,272
2016-04-15 10:50:01,370
2016-04-15 10:55:01,704
2016-04-15 11:00:01,388
2016-04-15 11:05:01,149
2016-04-15 11:10:01,174
2016-04-15 11:15:01,103
2016-04-15 11:20:01,105
2016-04-15 11:25:01,383
2016-04-15 11:30:01,166
2016-04-15 11:35:01,678
2016-04-15 11:40:01,783
2016-04-15 11:45:01,928
2016-04-15 11:50:01,880
2016-04-15 11:55:01,543
2016-04-15 12:00:01,145
2016-04-15 12:05:01,191
2016-04-15 12:10:01,944
2016-04-15 12:15:01,1102
2016-04-15 12:20:01,716
2016-04-15 12:25:01,656
2016-04-15 12:30:01,874
2016-04-15 12:35:01,326
2016-04-15 12:40:01,433
2016-04-15 12:45:01,293
2016-04-15 12:50:01,867
2016-04-15 12:55:01,658
2016-04-15 13:00:01,1093
2016-04-15 13:05:01,447
2016-04-15 13:10:01,600
2016-04-15 13:15:01,799
2016-04-15 13:20:01,561
2016-04-15 13:25:01,617
2016-04-15 13:30:01,915
2016-04-15 13:35:01,647
2016-04-15 13:40:01,600
2016-04-15 13:45:01,537
2016-04-15 13:50:01,323
2016-04-15 13:55:01,463
2016-04-15 14:00:01,869
2016-04-15 14:05:01,501
2016-04-15 14:10:01,376
2016-04-15 14:15:01,763
2016-04-15 14:20:01,770
2016-04-15 14:25:01,1200
2016-04-15 14:30:01,1331
2016-04-15 14:35:01,1222
2016-04-15 14:40:01,1270
2016-04-15 14:45:01,516
2016-04-15 14:50:01,748
2016-04-15 14:55:01,1249
2016-04-15 15:00:01,1278
2016-04-15 15:05:01,318
2016-04-15 15:10:01,461
2016-04-15 15:15:01,968
2016-04-15 15:20:01,350
2016-04-15 15:25:01,1200
2016-04-15 15:30:01,370
2016-04-15 15:35:01,559
2016-04-15 15:40:01,296
2016-04-15 15:45:01,535
2016-04-15 15:50:01,985
2016-04-15 15:55:01,293
2016-04-15 16:00:01,641
2016-04-15 16:05:01,266
2016-04-15 16:10:01,323
2016-04-15 16:15:01,638
2016-04-15 16:20:01,649
2016-04-15 16:25:01,297
2016-04-15 16:30:02,443
2016-04-15 16:35:01,936
2016-04-15 16:40:02,327
2016-04-15 16:45:01,281
2016-04-15 16:50:01,292
2016-04-15 16:55:01,179
2016-04-15 17:00:01,233
2016-04-15 17:05:01,199
2016-04-15 17:10:01,222
2016-04-15 17:15:01,124
2016-04-15 17:20:01,192
2016-04-15 17:25:01,171
2016-04-15 17:30:01,194
2016-04-15 17:35:01,162
2016-04-15 17:40:01,218
2016-04-15 17:45:01,171
2016-04-15 17:50:01,237
2016-04-15 17:55:01,192
2016-04-15 18:00:01,172
2016-04-15 18:05:01,185
2016-04-15 18:10:01,210
2016-04-15 18:15:01,205
2016-04-15 18:20:01,179
2016-04-15 18:25:01,166
2016-04-15 18:30:01,153
2016-04-15 18:35:01,146
2016-04-15 18:40:01,157
2016-04-15 18:45:01,157
2016-04-15 18:50:01,154
2016-04-15 18:55:01,154
2016-04-15 19:00:01,153
2016-04-15 19:05:01,153
2016-04-15 19:10:01,163
2016-04-15 19:15:01,134
2016-04-15 19:25:01,98
2016-04-15 19:30:01,74
2016-04-15 19:35:01,68
2016-04-15 19:40:01,66
2016-04-15 19:45:01,65
2016-04-15 19:50:01,63
2016-04-15 19:55:01,54
2016-04-15 20:00:01,46
2016-04-15 20:05:01,38
2016-04-15 20:10:01,32
2016-04-15 20:15:01,26
2016-04-15 20:20:01,22
2016-04-15 20:25:01,17
2016-04-16 07:45:01,12
2016-04-16 07:50:01,16
2016-04-16 07:55:01,20
2016-04-16 08:00:01,24
2016-04-16 08:05:01,26
2016-04-16 08:10:01,34
2016-04-16 08:15:01,51
2016-04-16 08:20:01,55
2016-04-16 08:25:01,55
2016-04-16 08:30:01,47
2016-04-16 08:35:01,49
2016-04-16 08:40:01,37
2016-04-16 08:45:01,78
2016-04-16 08:50:01,85
2016-04-16 08:55:01,99
2016-04-16 09:00:01,114
2016-04-16 09:05:01,124
2016-04-16 09:10:01,125
2016-04-16 09:15:01,167
2016-04-16 09:20:01,117
2016-04-16 09:25:01,271
2016-04-16 09:30:01,291
2016-04-16 09:35:01,293
2016-04-16 09:40:01,150
2016-04-16 09:45:01,199
2016-04-16 09:50:01,362
2016-04-16 09:55:01,214
2016-04-16 10:00:01,225
2016-04-16 10:05:01,235
2016-04-16 10:10:01,157
2016-04-16 10:15:01,272
2016-04-16 10:20:01,292
2016-04-16 10:25:01,358
2016-04-16 10:30:01,622
2016-04-16 10:35:01,479
2016-04-16 10:40:01,178
2016-04-16 10:45:01,308
2016-04-16 10:50:01,188
2016-04-16 10:55:01,280
2016-04-16 11:00:01,491
2016-04-16 11:05:01,223
2016-04-16 11:10:01,121
2016-04-16 11:15:01,113
2016-04-16 11:20:01,186
2016-04-16 11:25:01,114
2016-04-16 11:30:01,108
2016-04-16 11:35:01,82
2016-04-16 11:40:01,152
2016-04-16 11:45:01,391
2016-04-16 11:50:01,251
2016-04-16 11:55:01,583
2016-04-16 12:00:01,203
2016-04-16 12:05:01,287
2016-04-16 12:10:01,662
2016-04-16 12:15:01,261
2016-04-16 12:20:01,912
2016-04-16 12:25:01,1001
2016-04-16 12:30:01,1061
2016-04-16 12:35:01,457
2016-04-16 12:40:01,230
2016-04-16 12:45:01,286
2016-04-16 12:50:01,1085
2016-04-16 12:55:01,1173
2016-04-16 13:00:01,471
2016-04-16 13:05:01,237
2016-04-16 13:10:01,683
2016-04-16 13:15:01,327
2016-04-16 13:20:01,1061
2016-04-16 13:25:01,1017
2016-04-16 13:30:01,975
2016-04-16 13:35:01,974
2016-04-16 13:40:01,306
2016-04-16 13:45:01,898
2016-04-16 13:50:01,1097
2016-04-16 13:55:01,305
2016-04-16 14:00:01,905
2016-04-16 14:05:01,549
2016-04-16 14:10:01,1088
2016-04-16 14:15:01,253
2016-04-16 14:20:01,1145
2016-04-16 14:25:01,1078
2016-04-16 14:30:01,1119
2016-04-16 14:35:01,277
2016-04-16 14:40:01,891
2016-04-16 14:45:01,1082
2016-04-16 14:50:01,1050
2016-04-16 14:55:01,1197
2016-04-16 15:00:01,1238
2016-04-16 15:05:01,868
2016-04-16 15:10:01,627
2016-04-16 15:15:01,766
2016-04-16 15:20:01,583
2016-04-16 15:25:01,628
2016-04-16 15:30:01,526
2016-04-16 15:35:01,433
2016-04-16 15:40:01,329
2016-04-16 15:45:01,562
2016-04-16 15:50:01,632
2016-04-16 15:55:01,323
2016-04-16 16:00:01,996
2016-04-16 16:05:01,701
2016-04-16 16:10:01,484
2016-04-16 16:15:01,681
2016-04-16 16:20:01,750
2016-04-16 16:25:01,783
2016-04-16 16:30:01,768
2016-04-16 16:35:01,727
2016-04-16 16:40:01,721
2016-04-16 16:45:01,662
2016-04-16 16:50:01,466
2016-04-16 16:55:01,436
2016-04-16 17:00:01,412
2016-04-16 17:05:01,313
2016-04-16 17:10:01,312
2016-04-16 17:15:01,314
2016-04-16 17:20:01,332
2016-04-16 17:25:01,389
2016-04-16 17:30:01,433
2016-04-16 17:35:01,480
2016-04-16 17:40:01,533
2016-04-16 17:45:01,507
2016-04-16 17:50:01,645
2016-04-16 17:55:01,400
2016-04-16 18:00:01,449
2016-04-16 18:05:01,478
2016-04-16 18:10:01,139
2016-04-16 18:15:01,318
2016-04-16 18:20:01,389
2016-04-16 18:25:01,540
2016-04-16 18:30:01,465
2016-04-16 18:35:01,372
2016-04-16 18:40:01,365
2016-04-16 18:45:01,114
2016-04-16 18:50:01,350
2016-04-16 18:55:01,337
2016-04-16 19:00:01,339
2016-04-16 19:05:01,155
2016-04-16 19:10:01,109
2016-04-16 19:15:01,76
2016-04-16 19:20:01,53
2016-04-16 19:25:01,41
2016-04-16 19:30:01,26
2016-04-16 19:35:01,30
2016-04-16 19:40:01,37
2016-04-16 19:45:01,46
2016-04-16 19:50:01,49
2016-04-16 19:55:01,44
2016-04-16 20:00:01,46
2016-04-16 20:05:01,71
2016-04-16 20:10:01,61
2016-04-16 20:15:01,54
2016-04-16 20:20:01,38
2016-04-16 20:25:01,32
2016-04-16 20:30:01,21
2016-04-16 20:35:01,16
2016-04-17 07:55:01,16
2016-04-17 08:00:01,18
2016-04-17 08:05:01,20
2016-04-17 08:10:01,21
2016-04-17 08:15:01,24
2016-04-17 08:20:01,29
2016-04-17 08:25:01,38
2016-04-17 08:30:01,37
2016-04-17 08:35:01,43
2016-04-17 08:40:01,58
2016-04-17 08:45:01,66
2016-04-17 08:50:01,74
2016-04-17 08:55:01,85
2016-04-17 09:00:01,97
2016-04-17 09:05:01,112
2016-04-17 09:10:01,129
2016-04-17 09:15:01,147
2016-04-17 09:20:01,169
2016-04-17 09:25:01,193
2016-04-17 09:30:01,223
2016-04-17 09:35:01,257
2016-04-17 09:40:01,287
2016-04-17 09:45:01,319
2016-04-17 09:50:01,348
2016-04-17 09:55:01,373
2016-04-17 10:00:01,396
2016-04-17 10:05:01,418
2016-04-17 10:10:01,439
2016-04-17 10:15:01,463
2016-04-17 10:20:01,484
2016-04-17 10:25:01,506
2016-04-17 10:30:01,529
2016-04-17 10:35:01,550
2016-04-17 10:40:01,572
2016-04-17 10:45:01,596
2016-04-17 10:50:01,616
2016-04-17 10:55:01,641
2016-04-17 11:00:01,660
2016-04-17 11:05:01,686
2016-04-17 11:10:01,698
2016-04-17 11:15:01,709
2016-04-17 11:20:01,738
2016-04-17 11:25:01,763
2016-04-17 11:30:01,798
2016-04-17 11:35:01,833
2016-04-17 11:40:01,148
2016-04-17 11:45:01,203
2016-04-17 11:50:01,256
2016-04-17 11:55:01,176
2016-04-17 12:00:01,151
2016-04-17 12:05:01,243
2016-04-17 12:10:01,283
2016-04-17 12:15:01,140
2016-04-17 12:20:01,402
2016-04-17 12:25:01,996
2016-04-17 12:30:01,1072
2016-04-17 12:35:01,1093
2016-04-17 12:40:01,193
2016-04-17 12:45:01,241
2016-04-17 12:50:01,833
2016-04-17 12:55:01,1029
2016-04-17 13:00:01,1054
2016-04-17 13:05:01,1081
2016-04-17 13:10:01,1102
2016-04-17 13:15:01,1170
2016-04-17 13:20:01,1147
2016-04-17 13:25:01,546
2016-04-17 13:30:01,1148
2016-04-17 13:35:01,205
2016-04-17 13:40:01,1122
2016-04-17 13:45:01,432
2016-04-17 13:50:01,1150
2016-04-17 13:55:01,1008
2016-04-17 14:00:01,169
2016-04-17 14:05:01,1169
2016-04-17 14:10:01,1135
2016-04-17 14:15:01,1119
2016-04-17 14:20:01,1179
2016-04-17 14:25:01,738
2016-04-17 14:30:01,349
2016-04-17 14:35:01,384
2016-04-17 14:40:01,259
2016-04-17 14:45:01,291
2016-04-17 14:50:01,360
2016-04-17 14:55:01,255
2016-04-17 15:00:01,294
2016-04-17 15:05:01,881
2016-04-17 15:10:01,284
2016-04-17 15:15:01,237
2016-04-17 15:20:02,258
2016-04-17 15:25:01,297
2016-04-17 15:30:01,313
2016-04-17 15:35:01,328
2016-04-17 15:40:01,348
2016-04-17 15:45:01,413
2016-04-17 15:50:01,1186
2016-04-17 15:55:01,308
2016-04-17 16:00:01,196
2016-04-17 16:05:01,144
2016-04-17 16:10:01,117
2016-04-17 16:15:01,105
2016-04-17 16:20:01,102
2016-04-17 16:25:01,117
2016-04-17 16:30:01,161
2016-04-17 16:35:01,205
2016-04-17 16:40:01,259
2016-04-17 16:45:02,284
2016-04-17 16:50:01,308
2016-04-17 16:55:01,450
2016-04-17 17:00:01,470
2016-04-17 17:05:01,496
2016-04-17 17:10:01,603
2016-04-17 17:15:01,286
2016-04-17 17:20:01,483
2016-04-17 17:25:01,431
2016-04-17 17:30:01,434
2016-04-17 17:35:01,408
2016-04-17 17:40:01,410
2016-04-17 17:45:01,422
2016-04-17 17:50:01,613
2016-04-17 17:55:01,514
2016-04-17 18:00:01,536
2016-04-17 18:05:01,501
2016-04-17 18:10:01,442
2016-04-17 18:15:01,463
2016-04-17 18:20:01,307
2016-04-17 18:25:01,347
2016-04-17 18:30:01,140
2016-04-17 18:35:01,59
2016-04-17 18:40:01,35
2016-04-17 18:45:01,30
2016-04-17 18:50:01,37
2016-04-17 18:55:01,43
2016-04-17 19:00:01,45
2016-04-17 19:05:01,42
2016-04-17 19:10:01,35
2016-04-17 19:15:01,25
2016-04-17 19:20:01,19
2016-04-17 19:25:01,21
2016-04-17 19:30:01,26
2016-04-17 19:35:01,33
2016-04-17 19:40:01,37
2016-04-17 19:45:01,37
2016-04-17 19:50:01,35
2016-04-17 19:55:01,33
2016-04-17 20:00:01,31
2016-04-17 20:05:01,30
2016-04-17 20:10:01,29
2016-04-17 20:15:01,28
2016-04-17 20:20:01,26
2016-04-17 20:25:01,24
2016-04-17 20:30:01,21
2016-04-17 20:35:01,17
2016-04-18 07:45:01,13
2016-04-18 07:50:01,16
2016-04-18 07:55:01,18
2016-04-18 08:00:01,20
2016-04-18 08:05:01,23
2016-04-18 08:10:01,25
2016-04-18 08:15:01,27
2016-04-18 08:20:01,33
2016-04-18 08:25:01,40
2016-04-18 08:30:01,37
2016-04-18 08:35:01,49
2016-04-18 08:40:01,64
2016-04-18 08:45:01,72
2016-04-18 08:50:01,83
2016-04-18 08:55:01,94
2016-04-18 09:00:01,114
2016-04-18 09:05:01,130
